sweep,case_id,param_name,param_value,sigma_parallel,spacing,alpha,sigma_perp,mse,psnr,mae,correlation,blur_sigma,contrast
sweep_1_sigma_perp_corrected,case_05_blur1_contrast_medium,sigma_perp,0.5,5.0,2.5,1.0,0.5,0.12108974903821945,9.168926239013672,0.2475237101316452,0.0007823047747084682,1.0,0.5
sweep_1_sigma_perp_corrected,case_05_blur1_contrast_medium,sigma_perp,1.0,5.0,2.5,1.0,1.0,0.12062573432922363,9.185600280761719,0.2479606717824936,0.00094671418612361,1.0,0.5
sweep_1_sigma_perp_corrected,case_05_blur1_contrast_medium,sigma_perp,1.5,5.0,2.5,1.0,1.5,0.12307742983102798,9.09821605682373,0.25119295716285706,0.0009635374525634644,1.0,0.5
sweep_1_sigma_perp_corrected,case_05_blur1_contrast_medium,sigma_perp,2.0,5.0,2.5,1.0,2.0,0.1277696192264557,8.935724258422852,0.2558740973472595,0.0009772598383248488,1.0,0.5
sweep_1_sigma_perp_corrected,case_05_blur1_contrast_medium,sigma_perp,3.0,5.0,2.5,1.0,3.0,0.13332222402095795,8.750974655151367,0.2613407373428345,0.0010754370054145152,1.0,0.5
sweep_1_sigma_perp_corrected,case_05_blur1_contrast_medium,sigma_perp,4.0,5.0,2.5,1.0,4.0,0.13653141260147095,8.647674560546875,0.26473578810691833,0.001181384461272972,1.0,0.5
sweep_1_sigma_perp_corrected,case_05_blur1_contrast_medium,sigma_perp,6.0,5.0,2.5,1.0,6.0,0.1415443867444992,8.491073608398438,0.2703065872192383,0.0013784320211541877,1.0,0.5
sweep_1_sigma_perp_corrected,case_06_blur2_contrast_medium,sigma_perp,0.5,5.0,2.5,1.0,0.5,0.11943038552999496,9.228851318359375,0.24654951691627502,0.0009019351735736909,2.0,0.5
sweep_1_sigma_perp_corrected,case_06_blur2_contrast_medium,sigma_perp,1.0,5.0,2.5,1.0,1.0,0.11896883696317673,9.245668411254883,0.2472074031829834,0.0010955760959526172,2.0,0.5
sweep_1_sigma_perp_corrected,case_06_blur2_contrast_medium,sigma_perp,1.5,5.0,2.5,1.0,1.5,0.12142298370599747,9.156991004943848,0.2507036030292511,0.0011153793066808653,2.0,0.5
sweep_1_sigma_perp_corrected,case_06_blur2_contrast_medium,sigma_perp,2.0,5.0,2.5,1.0,2.0,0.12611769139766693,8.992239952087402,0.2553505599498749,0.001131227327462481,2.0,0.5
sweep_1_sigma_perp_corrected,case_06_blur2_contrast_medium,sigma_perp,3.0,5.0,2.5,1.0,3.0,0.13167569041252136,8.804944038391113,0.2607344090938568,0.001217979419965676,2.0,0.5
sweep_1_sigma_perp_corrected,case_06_blur2_contrast_medium,sigma_perp,4.0,5.0,2.5,1.0,4.0,0.13489028811454773,8.700193405151367,0.2640658915042877,0.0013085214101625617,2.0,0.5
sweep_1_sigma_perp_corrected,case_06_blur2_contrast_medium,sigma_perp,6.0,5.0,2.5,1.0,6.0,0.13991406559944153,8.541386604309082,0.26951754093170166,0.0014776272894721006,2.0,0.5
sweep_1_sigma_perp_corrected,case_07_blur4_contrast_medium,sigma_perp,0.5,5.0,2.5,1.0,0.5,0.11596105992794037,9.356878280639648,0.2444481998682022,0.0010801615742519132,4.0,0.5
sweep_1_sigma_perp_corrected,case_07_blur4_contrast_medium,sigma_perp,1.0,5.0,2.5,1.0,1.0,0.11550813168287277,9.37387466430664,0.245162233710289,0.0013078269002466034,4.0,0.5
sweep_1_sigma_perp_corrected,case_07_blur4_contrast_medium,sigma_perp,1.5,5.0,2.5,1.0,1.5,0.11797088384628296,9.282251358032227,0.24913063645362854,0.001330980288295485,4.0,0.5
sweep_1_sigma_perp_corrected,case_07_blur4_contrast_medium,sigma_perp,2.0,5.0,2.5,1.0,2.0,0.12267414480447769,9.112469673156738,0.25394684076309204,0.0013497727623728783,4.0,0.5
sweep_1_sigma_perp_corrected,case_07_blur4_contrast_medium,sigma_perp,3.0,5.0,2.5,1.0,3.0,0.12824667990207672,8.919538497924805,0.2593328356742859,0.0014168160818336887,4.0,0.5
sweep_1_sigma_perp_corrected,case_07_blur4_contrast_medium,sigma_perp,4.0,5.0,2.5,1.0,4.0,0.13147105276584625,8.811698913574219,0.26254531741142273,0.0015167158805962915,4.0,0.5
sweep_1_sigma_perp_corrected,case_07_blur4_contrast_medium,sigma_perp,6.0,5.0,2.5,1.0,6.0,0.13651171326637268,8.648301124572754,0.2677563428878784,0.0017139062505651603,4.0,0.5
