sweep,case_id,param_name,param_value,sigma_parallel,spacing,alpha,sigma_perp,mse,psnr,mae,correlation,blur_sigma,contrast
sweep_1_sigma_perp,case_05_blur1_contrast_medium,sigma_perp,0.5,5.0,2.5,0.5,0.5,0.12148131119025564,9.154905292363239,0.24703491334716227,0.0018179397856004531,1.0,0.5
sweep_1_sigma_perp,case_05_blur1_contrast_medium,sigma_perp,1.0,5.0,2.5,0.5,1.0,0.12077188354794326,9.180341604271916,0.24673269709608145,0.002226760304813948,1.0,0.5
sweep_1_sigma_perp,case_05_blur1_contrast_medium,sigma_perp,1.5,5.0,2.5,0.5,1.5,0.12028933814712475,9.197728646723888,0.24660286116790348,0.002314237396808569,1.0,0.5
sweep_1_sigma_perp,case_05_blur1_contrast_medium,sigma_perp,2.0,5.0,2.5,0.5,2.0,0.11990825297826704,9.211509244943842,0.24649142571771432,0.002392361509914296,1.0,0.5
sweep_1_sigma_perp,case_05_blur1_contrast_medium,sigma_perp,3.0,5.0,2.5,0.5,3.0,0.11929498669711974,9.233778069208165,0.2462995308960056,0.0025503265990455552,1.0,0.5
sweep_1_sigma_perp,case_05_blur1_contrast_medium,sigma_perp,4.0,5.0,2.5,0.5,4.0,0.11876883929296773,9.252974877911825,0.24612674688511366,0.002711022296471422,1.0,0.5
sweep_1_sigma_perp,case_05_blur1_contrast_medium,sigma_perp,6.0,5.0,2.5,0.5,6.0,0.11778430059479252,9.289125925661102,0.24579516528202738,0.0030349524876503568,1.0,0.5
sweep_1_sigma_perp,case_06_blur2_contrast_medium,sigma_perp,0.5,5.0,2.5,0.5,0.5,0.12007084507982177,9.205624327142049,0.24657641318410992,0.0018392993237222237,2.0,0.5
sweep_1_sigma_perp,case_06_blur2_contrast_medium,sigma_perp,1.0,5.0,2.5,0.5,1.0,0.11936141743750936,9.231360325185776,0.245964507880397,0.0022529232019549033,2.0,0.5
sweep_1_sigma_perp,case_06_blur2_contrast_medium,sigma_perp,1.5,5.0,2.5,0.5,1.5,0.11887887203669086,9.24895324298212,0.24562683737015428,0.002341428089422062,2.0,0.5
sweep_1_sigma_perp,case_06_blur2_contrast_medium,sigma_perp,2.0,5.0,2.5,0.5,2.0,0.11849778686783316,9.262897607092631,0.2454347376322412,0.0024204701069521235,2.0,0.5
sweep_1_sigma_perp,case_06_blur2_contrast_medium,sigma_perp,3.0,5.0,2.5,0.5,3.0,0.11788452058668589,9.285432183581753,0.24511841978525103,0.0025802911768863096,2.0,0.5
sweep_1_sigma_perp,case_06_blur2_contrast_medium,sigma_perp,4.0,5.0,2.5,0.5,4.0,0.11735837318253386,9.304859192972332,0.24481033810417335,0.002742874937878752,2.0,0.5
sweep_1_sigma_perp,case_06_blur2_contrast_medium,sigma_perp,6.0,5.0,2.5,0.5,6.0,0.11637383448435865,9.341446555663161,0.24418858349300207,0.0030706110852954677,2.0,0.5
sweep_1_sigma_perp,case_07_blur4_contrast_medium,sigma_perp,0.5,5.0,2.5,0.5,0.5,0.11724989716208296,9.308875295251136,0.24580977726290243,0.0018843792370811848,4.0,0.5
sweep_1_sigma_perp,case_07_blur4_contrast_medium,sigma_perp,1.0,5.0,2.5,0.5,1.0,0.11654046951977061,9.33523236551045,0.24452536374575862,0.0023081407412853324,4.0,0.5
sweep_1_sigma_perp,case_07_blur4_contrast_medium,sigma_perp,1.5,5.0,2.5,0.5,1.5,0.11605792411895206,9.353252017513862,0.24387361049834527,0.0023988148203611163,4.0,0.5
sweep_1_sigma_perp,case_07_blur4_contrast_medium,sigma_perp,2.0,5.0,2.5,0.5,2.0,0.11567683895009438,9.367535876609566,0.24344124133459294,0.002479794101312895,4.0,0.5
sweep_1_sigma_perp,case_07_blur4_contrast_medium,sigma_perp,3.0,5.0,2.5,0.5,3.0,0.11506357266894708,9.390621454650383,0.24278842356236224,0.002643532271576251,4.0,0.5
sweep_1_sigma_perp,case_07_blur4_contrast_medium,sigma_perp,4.0,5.0,2.5,0.5,4.0,0.11453742526479509,9.410525838022245,0.24222393206152065,0.0028101008444825857,4.0,0.5
sweep_1_sigma_perp,case_07_blur4_contrast_medium,sigma_perp,6.0,5.0,2.5,0.5,6.0,0.11355288656661985,9.448018213383833,0.24104774318694627,0.0031458695709036763,4.0,0.5
sweep_2_sigma_parallel,case_06_blur2_contrast_medium,sigma_parallel,3.0,3.0,2.5,0.5,2.0,0.11947029295314106,9.227400713721174,0.24545139660386467,0.0018542586637625687,2.0,0.5
sweep_2_sigma_parallel,case_06_blur2_contrast_medium,sigma_parallel,4.0,4.0,2.5,0.5,2.0,0.11898403991404533,9.245112893815438,0.24543912244986713,0.0021529250513586265,2.0,0.5
sweep_2_sigma_parallel,case_06_blur2_contrast_medium,sigma_parallel,5.0,5.0,2.5,0.5,2.0,0.11849778686783316,9.262897607092631,0.2454347376322412,0.0024204701069521235,2.0,0.5
sweep_2_sigma_parallel,case_06_blur2_contrast_medium,sigma_parallel,7.0,7.0,2.5,0.5,2.0,0.11752528078561632,9.298687025434699,0.24543065342353776,0.0028965265188586223,2.0,0.5
sweep_2_sigma_parallel,case_06_blur2_contrast_medium,sigma_parallel,10.0,10.0,2.5,0.5,2.0,0.11606652742718779,9.352930089404202,0.24542836502745932,0.003522945169277305,2.0,0.5
sweep_3_spacing,case_06_blur2_contrast_medium,spacing,1.25,5.0,1.25,0.5,2.0,0.11914371263197042,9.239288709951374,0.24615304284943396,0.0019055875352581232,2.0,0.5
sweep_3_spacing,case_06_blur2_contrast_medium,spacing,1.67,5.0,1.67,0.5,2.0,0.11889752699044172,9.248271783970717,0.2459109913347352,0.0020862315786669646,2.0,0.5
sweep_3_spacing,case_06_blur2_contrast_medium,spacing,2.5,5.0,2.5,0.5,2.0,0.11849778686783316,9.262897607092631,0.2454347376322412,0.0024204701069521235,2.0,0.5
sweep_3_spacing,case_06_blur2_contrast_medium,spacing,3.33,5.0,3.33,0.5,2.0,0.11819652714114245,9.27395283738991,0.24500081533589382,0.0027263697260823502,2.0,0.5
sweep_3_spacing,case_06_blur2_contrast_medium,spacing,5.0,5.0,5.0,0.5,2.0,0.11779375506130477,9.288777334394705,0.24443070758121957,0.003266317492233379,2.0,0.5
sweep_4_alpha,case_02_sharp_contrast_medium,alpha,0.1,5.0,2.5,0.1,1.0,0.12337316572666168,9.087793350219727,0.24749775230884552,0.0028174895773774252,0.0,0.5
sweep_4_alpha,case_02_sharp_contrast_medium,alpha,0.15,5.0,2.5,0.15,1.0,0.12319718301296234,9.093992233276367,0.24749667942523956,0.002815347287284874,0.0,0.5
sweep_4_alpha,case_02_sharp_contrast_medium,alpha,0.2,5.0,2.5,0.2,1.0,0.12302917242050171,9.099919319152832,0.247495636343956,0.002813151045920781,0.0,0.5
sweep_4_alpha,case_02_sharp_contrast_medium,alpha,0.25,5.0,2.5,0.25,1.0,0.12286897003650665,9.10557746887207,0.24749460816383362,0.0028108992328281404,0.0,0.5
sweep_4_alpha,case_02_sharp_contrast_medium,alpha,0.3,5.0,2.5,0.3,1.0,0.12271632254123688,9.110977172851562,0.24749357998371124,0.0028085908493536353,0.0,0.5
sweep_4_alpha,case_03_sharp_contrast_high,alpha,0.1,5.0,2.5,0.1,1.0,0.3158353269100189,5.005393028259277,0.39599645137786865,0.0028174897262561913,0.0,0.8
